som,70.2,4
umidità,77.97,2
sound,2.3604782259904e-310,4
light,14034.39,3
luminousFlux,50993.28,3
luminousFlux,0,3
temperature,14.93,1
temperature,12.06,1
luz,3069.41,3
temperature,10.25,1
umidità,83.29,2
luz,3429.02,3
sonido,50,4
light,2759.74,3
sound,50,4
temp,6.77,1
light,0,3
temperature,8.83,1
temperature,17.48,1
temperature,15.16,1
relativeHumidity,77,2
temperature,17.93,1
emparrtutee,136.86,0
temperature,18.19,1
light,190.91,3
som,2.3604782259904e-310,4
temperature,31.41,1
noise,64.7,4
temperature,14.96,1
sound,50,4
umidità,60,2
unlsFmouluix,197.0,0
som,50,4
nsdou,20.99,0
temperature,18.58,1
umidade,81,2
light,522.6,3
luminous,0,3
luz,9662.31,3
noise,70.2,4
light,0,3
umidità,87.17,2
temperature,15.74,1
Humidity,82.81,2
temperature,19.8,1
mxFluiuoulsn,55.15,0
temperatura,15.93,1
temperature,267.61,1
light,1763,3
temperature,16.64,1
lux,0,3
mpetrtuerae,15.38,0
lux,0.38,3
temperature,19.41,1
temperature,21.93,1
temperature,15.93,1
temperature,15.03,1
temperature,18.06,1
luminousFlux,11.5,3
rtaHvmietieiydlu,95.08,0
temperature,17.03,1
som,50,4
light,931.02,3
temperature,15.93,1
luminous,1615.31,3
light,95834.4,3
lux,0,3
sound,2.3604782259904e-310,4
luminousFlux,333.37,3
temperatura,10.32,1
umidade,86.64,2
som,67.7,4
temperature,20.06,1
umidità,72,2
light,4726.71,3
temperature,14.19,1
temperature,20,1
temperature,14.25,1
umidade,89,2
luminousFlux,5156.48,3
noise,50,4
sonido,58,4
temperature,19.87,1
temperature,16.38,1
temperature,21.61,1
temperature,15.09,1
temperature,14.96,1
luz,0,3
lux,2257.4,3
light,0,3
temperature,9.87,1
temperature,21.16,1
temperature,6.7,1
temperature,2.3604782259904e-310,1
temperature,2.3604782259904e-310,1
som,71.3,4
temp,9.54,1
lux,1403.84,3
temperatura,209.93,1
luz,11206.76,3
nmulxusFiluo,129.37,0
sound,2.3604782259904e-310,4
Humidity,2.37035722076702e-310,2
luminous,0,3
temperature,17.41,1
temperature,17.93,1
relativeHumidity,54,2
lux,0.5,3
umidade,73,2
temperature,16.45,1
luz,251.72,3
sonido,50,4
temperature,16.7,1
temperature,16.96,1
relativeHumidity,47,2
temperature,-49.16,1
luz,491.51,3
temperature,-38.7,1
lux,1135.73,3
irvmeudalietiHyt,30.83,0
sonido,2.3604782259904e-310,4
light,598.86,3
temperatura,9.09,1
light,5272.43,3
light,18014.34,3
luminousFlux,81882.86,3
relativeHumidity,73,2
eeuareptrtm,186.78,0
luz,0,3
som,2.3604782259904e-310,4
umidità,74.59,2
som,2.3604782259904e-310,4
umidità,77.42,2
umidade,85.6,2
luz,14520.13,3
sound,82,4
temperature,16.38,1
emretaetrpu,12.51,0
lux,1243.88,3
umiulFxnlsuo,4.97,0
temperature,20.32,1
temperature,23.54,1
temp,200,1
luminousFlux,4530.49,3
relativeHumidity,78.08,2
temperature,15.5,1
temperature,19.61,1
sound,50,4
noise,2.3604782259904e-310,4
sonido,2.3604782259904e-310,4
temperature,13.09,1
smllonuuxuFi,191.41,0
temperature,11.79,1
light,0.03,3
temperatura,-46.19,1
tuerrpeaemt,189.65,0
liosulFxmuun,92.75,0
sonido,71.2,4
Humidity,71.65,2
light,24910.76,3
temperature,21.93,1
temperature,-36.83,1
sound,50,4
luminous,12709.81,3
lux,0,3
umidade,75.99,2
luz,0,3
luz,0,3
temperature,-37.16,1
sound,50,4
pmreaettreu,3.61,0
temp,15.87,1
temperature,10.77,1
lux,10241.2,3
luminousFlux,136699.64,3
temperature,-42.9,1
umidità,51,2
umidità,86.05,2
luminousFlux,2.27,3
unxuFimlluso,177.15,0
temperature,7.41,1
som,2.3604782259904e-310,4
temperature,13.93,1
sound,50,4
temperatura,15.93,1
temperature,9.16,1
relativeHumidity,200,2
umidità,85.6,2
luminousFlux,0,3
sonido,2.3604782259904e-310,4
som,2.3604782259904e-310,4
temperature,9.8,1
temperature,17.87,1
temperature,16.38,1
temperatura,20,1
umidità,80,2
temperature,16.12,1
sound,54.2,4
temp,18.51,1
temperature,17.93,1
temperature,15.16,1
relativeHumidity,80,2
temperature,16.06,1
som,50,4
noise,2.3604782259904e-310,4
luminousFlux,1443.04,3
temp,19.74,1
noise,66.1,4
noise,73.1,4
temperature,20.12,1
light,30.12,3
temperature,19.87,1
luminousFlux,7559.79,3
temp,14.12,1
luminousFlux,0,3
temperatura,13.61,1
noise,50,4
temperatura,15.67,1
umidità,200,2
noise,2.3604782259904e-310,4
light,1.87,3
umidade,2.37035722076702e-310,2
lux,762.98,3
dusno,197.93,0
temperature,19.63,1
sound,51.9,4
relativeHumidity,72,2
umidade,200,2
temperature,28.45,1
Humidity,86.64,2
sound,2.3604782259904e-310,4
light,0,3
temperature,16.7,1
temperature,23.29,1
light,0,3
umidade,74.59,2
light,2.3604782259904e-310,3
temperature,16.12,1
sound,76.5,4
temperature,16.58,1
luminousFlux,190.91,3
temp,-39.7,1
temperature,16.83,1
temperature,223.22,1
sound,50,4
ueaertmpter,145.97,0
temperature,14.64,1
temperature,18.77,1
light,2294.25,3
som,64.7,4
temperature,17.81,1
temperature,12.64,1
luminousFlux,0,3
temp,20,1
temperature,20.7,1
lux,0,3
earetuetpmr,71.92,0
temperature,13.87,1
temperature,18.7,1
temperature,12.19,1
light,8636.68,3
temperature,15.03,1
luminousFlux,0,3
temperature,17.29,1
luminousFlux,1525.94,3
lux,11.93,3
light,0,3
lonsxuFiulum,168.33,0
luminousFlux,0.17,3
noise,71.2,4
light,5643.11,3
noise,67.7,4
temp,22.25,1
luminous,481.66,3
light,13130.62,3
temperature,24.19,1
temperature,12.64,1
temperatura,-41.61,1
temperature,24.25,1
umidade,89,2
luminousFlux,7759.28,3
maerttrpuee,177.5,0
linumFlxusuo,87.75,0
temperature,16.77,1
umidade,13,2
Foliumluuxsn,51.91,0
sonido,2.3604782259904e-310,4
lux,2533.54,3
temperature,10.19,1
temperature,16.9,1
umidità,89,2
temperature,1.29,1
temperature,7.22,1
sonido,56,4
umidità,82.98,2
som,50,4
umidade,73,2
temp,16.9,1
temperature,26.19,1
light,19450.79,3
umidità,2.37035722076702e-310,2
temperatura,6.38,1
sound,58.6,4
temperature,25.54,1
temperature,16.58,1
umidità,200,2
Fusuxnlimlou,49.46,0
temperature,9.41,1
noise,2.3604782259904e-310,4
temperature,20.77,1
luminousFlux,0,3
noise,52.5,4
temperature,14.38,1
luminousFlux,0,3
umidità,74.36,2
noise,53.8,4
luz,0,3
temp,19.54,1
umidade,66,2
noise,79.6,4
umidità,47,2
noise,2.3604782259904e-310,4
temraerpute,84.36,0
luz,0,3
temperature,14.96,1
light,0.01,3
temperature,11.8,1
light,3302.97,3
umidità,56,2
lux,17353.01,3
umidade,68,2
light,0,3
umidade,83.29,2
temperature,24.19,1
temperature,22.06,1
temperature,11.3,1
temperature,16.64,1
temperature,15.41,1
umidità,45,2
sound,62,4
temperature,-42.96,1
temperature,16,1
sound,50,4
Humidity,87.17,2
luminousFlux,0,3
lux,0.1,3
temperature,14.9,1
Humidity,82.81,2
light,0,3
temperature,-50,1
luminousFlux,0.17,3
temp,9.54,1
luz,0,3
luz,4005.72,3
temp,205.16,1
msuuFuolilxn,197.57,0
luminousFlux,0,3
temperatura,13.74,1
temperature,14.19,1
temperature,2.3604782259904e-310,1
Humidity,74.59,2
temperature,8.12,1
parreetuemt,145.49,0
umidità,75,2
umidità,79.93,2
temperature,223.22,1
sound,79.6,4
relativeHumidity,47,2
temperature,15.22,1
temperature,14.54,1
sonido,50,4
temperature,-37.16,1
umidità,70,2
temperature,-40.12,1
Humidity,83.29,2
temperatura,13.41,1
temperature,6.06,1
relativeHumidity,77.79,2
temperature,18.25,1
sonido,50,4
relativeHumidity,80,2
luminous,0,3
temperature,15.41,1
light,0.29,3
relativeHumidity,77.42,2
lux,0,3
umidità,21,2
umidade,74.36,2
noise,100,4
temperature,17.03,1
temp,18.06,1
sonido,50,4
luz,3561.81,3
temperature,14.96,1
temperature,16.45,1
noise,70.2,4
umidade,200,2
sonido,59.1,4
light,57.92,3
light,0,3
som,2.3604782259904e-310,4
luminousFlux,8404.6,3
temperature,2.3604782259904e-310,1
temperature,16.19,1
sound,50,4
